# N,Walkers,NTemps,NEnsembles,Iterations,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
82,2046,11,186,500,-440.550425,-440.550425,0.000000,0.0000,1,244.071
82,2046,11,186,2000,-440.550425,-440.550425,0.000000,0.0000,1,967.579
82,8190,13,630,500,-440.550425,-440.550425,0.000000,0.0000,1,780.799
82,8190,13,630,2000,-440.550425,-440.550425,0.000000,0.0000,1,3082.042
85,2046,11,186,500,-459.055799,-459.055799,0.000000,0.0000,1,260.587
85,2046,11,186,2000,-459.055799,-459.055799,0.000000,0.0000,1,1034.293
85,8190,13,630,500,-459.055799,-459.055799,0.000000,0.0000,1,833.706
85,8190,13,630,2000,-459.055799,-459.055799,0.000000,0.0000,1,3293.645
86,2046,11,186,500,-465.384493,-465.384493,0.000000,0.0000,1,267.210
86,2046,11,186,2000,-465.384493,-465.384493,0.000000,0.0000,1,1058.039
86,8190,13,630,500,-465.384493,-465.384493,0.000000,0.0000,1,852.650
86,8190,13,630,2000,-465.384493,-465.384493,0.000000,0.0000,1,3365.740
88,2046,11,186,500,-479.032630,-479.032630,0.000000,0.0000,1,278.156
88,2046,11,186,2000,-479.032630,-479.032630,0.000000,0.0000,1,1103.659
88,8190,13,630,500,-479.032630,-479.032630,0.000000,0.0000,1,889.357
88,8190,13,630,2000,-479.032630,-479.032630,0.000000,0.0000,1,3512.913
89,2046,11,186,500,-485.413997,-486.053911,0.639914,0.1317,0,284.252
89,2046,11,186,2000,-486.053911,-486.053911,0.000000,0.0000,1,1128.227
89,8190,13,630,500,-486.053911,-486.053911,0.000000,0.0000,1,908.240
89,8190,13,630,2000,-486.053911,-486.053911,0.000000,0.0000,1,3583.549
