# N,Walkers,NTemps,NEnsembles,Iterations,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
90,2046,11,186,500,-492.433908,-492.433908,-0.000000,-0.0000,1,290.455
90,2046,11,186,2000,-492.433908,-492.433908,-0.000000,-0.0000,1,1148.749
90,8190,13,630,500,-492.433908,-492.433908,-0.000000,-0.0000,1,926.990
90,8190,13,630,2000,-492.433908,-492.433908,-0.000000,-0.0000,1,3659.959
92,2046,11,186,500,-505.185309,-505.185309,-0.000000,-0.0000,1,302.826
92,2046,11,186,2000,-505.185309,-505.185309,-0.000000,-0.0000,1,1196.808
92,8190,13,630,500,-505.185309,-505.185309,-0.000000,-0.0000,1,965.001
92,8190,13,630,2000,-505.185309,-505.185309,-0.000000,-0.0000,1,3806.536
93,2046,11,186,500,-510.877688,-510.877688,0.000000,0.0000,1,309.356
93,2046,11,186,2000,-510.877688,-510.877688,0.000000,0.0000,1,1223.649
93,8190,13,630,500,-510.877688,-510.877688,0.000000,0.0000,1,984.137
93,8190,13,630,2000,-510.877688,-510.877688,0.000000,0.0000,1,3882.801
94,2046,11,186,500,-517.256756,-517.264131,0.007375,0.0014,0,314.370
94,2046,11,186,2000,-517.264131,-517.264131,-0.000000,-0.0000,1,1246.199
94,8190,13,630,500,-517.264131,-517.264131,-0.000000,-0.0000,1,1003.365
94,8190,13,630,2000,-517.264131,-517.264131,-0.000000,-0.0000,1,3957.789
95,2046,11,186,500,-523.640211,-523.640211,-0.000000,-0.0000,1,321.411
95,2046,11,186,2000,-523.640211,-523.640211,-0.000000,-0.0000,1,1269.446
95,8190,13,630,500,-523.640211,-523.640211,-0.000000,-0.0000,1,1022.419
95,8190,13,630,2000,-523.640211,-523.640211,-0.000000,-0.0000,1,4034.100
