# N,Walkers,NTemps,NEnsembles,Iterations,BestEnergy,KnownMin,Gap,GapPercent,Hit,Time_s
96,2046,11,186,500,-529.313484,-529.879146,0.565662,0.1068,0,327.039
96,2046,11,186,2000,-529.879146,-529.879146,-0.000000,-0.0000,1,1294.070
96,8190,13,630,500,-529.879146,-529.879146,-0.000000,-0.0000,1,1039.505
96,8190,13,630,2000,-529.879146,-529.879146,-0.000000,-0.0000,1,4093.312
98,2046,11,186,500,-543.642957,-543.665361,0.022404,0.0041,0,375.023
98,2046,11,186,2000,-543.642957,-543.665361,0.022404,0.0041,0,1477.895
98,8190,13,630,500,-543.642957,-543.665361,0.022404,0.0041,0,1199.124
98,8190,13,630,2000,-543.665361,-543.665361,0.000000,0.0000,1,4716.351
99,2046,11,186,500,-549.865226,-550.666526,0.801300,0.1455,0,381.677
99,2046,11,186,2000,-550.666526,-550.666526,0.000000,0.0000,1,1506.450
99,8190,13,630,500,-550.666526,-550.666526,0.000000,0.0000,1,1220.083
99,8190,13,630,2000,-550.666526,-550.666526,0.000000,0.0000,1,4798.012
100,2046,11,186,500,-557.039820,-557.039820,0.000000,0.0000,1,388.620
100,2046,11,186,2000,-557.039820,-557.039820,0.000000,0.0000,1,1534.134
100,8190,13,630,500,-557.039820,-557.039820,0.000000,0.0000,1,1242.719
100,8190,13,630,2000,-557.039820,-557.039820,0.000000,0.0000,1,4884.553
